store_id,store_name,city,region,opened_date
423,"Herrera, Hughes and Smith Store","New York, NY",West,2021-03-24
424,Roman-Parker Store,"Indianapolis, IN",West,2022-06-02
425,"Gallegos, Collins and Rodriguez Store","Jacksonville, FL",East,2021-07-08
426,Newman PLC Store,"Houston, TX",Central,2023-02-04
427,Valdez LLC Store,"Chicago, IL",East,2023-03-02
428,Lin-Carroll Store,"Columbus, OH",South,2023-02-10
429,Soto PLC Store,"Phoenix, AZ",West,2022-06-30
430,"Young, Ballard and Meyer Store","Indianapolis, IN",West,2021-08-06
431,"Smith, Garcia and Ellis Store","Indianapolis, IN",East,2020-10-06
432,Petty-Terry Store,"Los Angeles, CA",West,2024-02-17
433,Holland-Cowan Store,"Dallas, TX",East,2021-04-01
434,"Smith, Garza and Maldonado Store","Houston, TX",North,2021-08-06
435,Hudson-Acevedo Store,"Fort Worth, TX",West,2020-07-11
436,"Smith, Lee and Leon Store","San Antonio, TX",East,2024-05-09
437,"Larson, Moore and Knight Store","San Antonio, TX",West,2020-08-25
438,Green-Davis Store,"Philadelphia, PA",Central,2022-12-10
439,Nguyen-Curry Store,"Dallas, TX",Central,2020-08-08
440,"Cunningham, Marshall and King Store","Boston, MA",West,2020-12-23
441,Bowman-Peters Store,"Indianapolis, IN",West,2024-05-02
442,"Smith, Jackson and Pierce Store","Houston, TX",North,2022-01-04
443,White-Gutierrez Store,"San Diego, CA",North,2024-06-02
444,"Smith, Riley and Johnson Store","San Diego, CA",North,2023-12-12
445,"Tate, Dixon and Smith Store","Los Angeles, CA",North,2021-06-17
446,Cook and Sons Store,"Denver, CO",East,2022-04-18
447,Payne Group Store,"San Diego, CA",North,2023-12-07
448,"Mendoza, Martin and Hardy Store","Seattle, WA",North,2023-11-10
449,Williams and Sons Store,"Dallas, TX",South,2020-07-05
450,Brown PLC Store,"Boston, MA",West,2020-09-20
451,Duncan-Jackson Store,"Fort Worth, TX",West,2021-02-18
452,"Garza, Gray and Holland Store","Houston, TX",South,2021-02-20
453,Adams-Bailey Store,"Dallas, TX",West,2024-05-19
454,Cantrell PLC Store,"San Antonio, TX",South,2020-09-15
455,Roberson Ltd Store,"San Antonio, TX",East,2024-01-19
456,Gross-Harvey Store,"San Jose, CA",Central,2021-02-19
457,"Wheeler, Sweeney and Randolph Store","San Jose, CA",North,2023-02-13
458,Robinson-Medina Store,"Houston, TX",South,2023-11-17
459,Silva-Warner Store,"Indianapolis, IN",Central,2022-01-12
460,"Aguilar, Huang and Wilkins Store","San Francisco, CA",East,2022-06-02
461,"Adams, Morris and Lynch Store","San Diego, CA",South,2020-09-06
462,Wise Ltd Store,"Austin, TX",North,2021-05-22
463,Ward PLC Store,"Philadelphia, PA",South,2022-06-27
464,Bruce-Hernandez Store,"Austin, TX",West,2022-07-14
465,Baker Ltd Store,"Phoenix, AZ",North,2021-05-01
466,"Cabrera, Davis and Hamilton Store","San Francisco, CA",West,2023-02-14
467,Bell PLC Store,"Austin, TX",North,2022-06-04
468,Smith Ltd Store,"Philadelphia, PA",East,2021-01-25
469,Miller-Ball Store,"Chicago, IL",South,2022-11-16
470,Hooper Ltd Store,"New York, NY",Central,2023-11-26
471,"Evans, Patterson and Knight Store","Jacksonville, FL",West,2022-12-24
472,Pearson and Sons Store,"Denver, CO",North,2022-04-30
473,"Gilbert, Cross and Davis Store","San Francisco, CA",South,2021-10-13
474,Weeks-Miller Store,"San Francisco, CA",North,2020-10-02
475,"Mullen, Kennedy and Martin Store","Los Angeles, CA",North,2021-08-03
476,"Turner, Rodgers and Nelson Store","Denver, CO",East,2021-07-02
477,Johnston and Sons Store,"San Diego, CA",Central,2022-02-25
478,"Pruitt, Black and Sanders Store","Indianapolis, IN",South,2023-05-30
479,Whitney Group Store,"Phoenix, AZ",North,2023-02-05
480,Clayton PLC Store,"Houston, TX",East,2023-01-08
481,Kelly Inc Store,"Austin, TX",West,2020-10-16
482,Mitchell-Clark Store,"San Francisco, CA",East,2023-07-10
483,"Gamble, Griffin and Jennings Store","Seattle, WA",East,2023-02-06
484,"Anderson, Cooper and Fuentes Store","San Francisco, CA",East,2023-04-06
485,Marks-Fisher Store,"Jacksonville, FL",West,2020-07-26
486,"Kelley, Coleman and Greene Store","New York, NY",East,2020-07-10
487,Morgan Ltd Store,"San Jose, CA",East,2022-09-20
488,Deleon Group Store,"Indianapolis, IN",Central,2023-11-25
489,Padilla-Carter Store,"San Francisco, CA",North,2023-01-20
490,"Mitchell, Webb and Johnson Store","Dallas, TX",Central,2021-01-04
491,Wilson-Schwartz Store,"New York, NY",South,2022-01-16
492,"West, Taylor and Benson Store","Columbus, OH",South,2023-08-06
493,Howell LLC Store,"Phoenix, AZ",East,2023-09-15
494,Norris-Merritt Store,"San Francisco, CA",North,2023-10-27
495,"Mendoza, Roberts and Hughes Store","San Diego, CA",Central,2024-04-12
496,Raymond PLC Store,"Columbus, OH",East,2021-04-27
497,Anderson-Herrera Store,"San Antonio, TX",North,2020-08-03
498,"Davis, Mueller and Brown Store","San Antonio, TX",West,2023-05-03
499,Wright-Davidson Store,"Houston, TX",East,2021-09-13
500,"Miller, Smith and Baker Store","Seattle, WA",West,2023-07-28
